epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14.4448,0.72619,1.37379,1.08319,0.95213,0.5,0.995,0.84575,0.7016,2.39768,1.55005,0.000350625,0.000350625,0.000350625
44,14.7511,0.56569,1.12983,1.02553,0.95213,0.5,0.995,0.84575,0.7016,2.39768,1.55005,0.00035289,0.00035289,0.00035289
45,15.0832,1.63322,1.74364,2.0099,0.81351,0.5,0.995,0.84575,0.89083,2.18744,1.65906,0.000354872,0.000354872,0.000354872
46,15.389,1.24255,1.89998,1.51906,0.81351,0.5,0.995,0.84575,0.89083,2.18744,1.65906,0.000356571,0.000356571,0.000356571
47,15.7844,0.71331,1.46723,1.31609,0.67567,1,0.995,0.796,0.74138,2.18241,1.42549,0.000357987,0.000357987,0.000357987
48,16.0859,0.8705,2.56209,1.55369,0.67567,1,0.995,0.796,0.74138,2.18241,1.42549,0.000359121,0.000359121,0.000359121
49,16.4196,1.31637,2.63393,1.6523,0.75684,0.5,0.995,0.6965,0.72121,2.26351,1.35997,0.000359971,0.000359971,0.000359971
50,16.7365,0.74399,1.16017,1.27315,0.75684,0.5,0.995,0.6965,0.72121,2.26351,1.35997,0.000360538,0.000360538,0.000360538
51,17.0731,1.10967,1.53253,1.48207,0.7684,0.5,0.995,0.84575,0.71711,2.37281,1.31186,0.000360822,0.000360822,0.000360822
52,17.3799,0.65402,1.43313,1.08973,0.7684,0.5,0.995,0.84575,0.71711,2.37281,1.31186,0.000360824,0.000360824,0.000360824
53,17.6983,0.8385,1.49207,1.54376,0.7684,0.5,0.995,0.84575,0.71711,2.37281,1.31186,0.000360542,0.000360542,0.000360542
54,18.0397,0.74668,1.20983,0.93373,0.67726,1,0.995,0.796,0.76078,2.11326,1.37085,0.000359978,0.000359978,0.000359978
55,18.3502,1.47768,2.00809,1.91635,0.67726,1,0.995,0.796,0.76078,2.11326,1.37085,0.000359131,0.000359131,0.000359131
56,18.6624,0.56801,1.42374,1.12077,0.67726,1,0.995,0.796,0.76078,2.11326,1.37085,0.000358,0.000358,0.000358
57,18.9993,0.42327,1.20599,1.04211,0.74789,1,0.995,0.84575,0.79045,1.93956,1.42914,0.000356587,0.000356587,0.000356587
58,19.3127,0.55995,1.60258,1.03514,0.74789,1,0.995,0.84575,0.79045,1.93956,1.42914,0.000354891,0.000354891,0.000354891
59,19.6256,0.57313,1.98446,1.49734,0.74789,1,0.995,0.84575,0.79045,1.93956,1.42914,0.000352912,0.000352912,0.000352912
60,19.9589,0.91317,1.59281,1.42881,0.67733,1,0.995,0.796,0.79956,1.97129,1.59103,0.000350649,0.000350649,0.000350649
61,20.2688,1.28528,1.69269,1.80939,0.67733,1,0.995,0.796,0.79956,1.97129,1.59103,0.000348104,0.000348104,0.000348104
62,20.5827,0.57451,0.90727,1.09296,0.67733,1,0.995,0.796,0.79956,1.97129,1.59103,0.000345276,0.000345276,0.000345276
63,20.9158,1.05717,1.25066,1.63273,0.97171,0.5,0.995,0.74625,1.07222,2.0814,1.94784,0.000342165,0.000342165,0.000342165
64,21.2252,0.74947,1.33687,1.26441,0.97171,0.5,0.995,0.74625,1.07222,2.0814,1.94784,0.000338772,0.000338772,0.000338772
65,21.5389,0.94057,1.92234,1.16058,0.97171,0.5,0.995,0.74625,1.07222,2.0814,1.94784,0.000335095,0.000335095,0.000335095
66,21.8769,1.10156,1.85069,1.62978,0.60962,1,0.995,0.67162,1.15752,2.21707,1.75813,0.000331135,0.000331135,0.000331135
67,22.2567,0.79391,1.41954,1.14418,0.60962,1,0.995,0.67162,1.15752,2.21707,1.75813,0.000326892,0.000326892,0.000326892
68,22.5787,0.77607,0.99178,1.03428,0.60962,1,0.995,0.67162,1.15752,2.21707,1.75813,0.000322367,0.000322367,0.000322367
69,22.9046,0.73675,1.36483,1.3031,0.54049,1,0.995,0.74625,1.25935,2.2314,1.81876,0.000317558,0.000317558,0.000317558
70,23.2107,0.37669,0.73598,0.91415,0.54049,1,0.995,0.74625,1.25935,2.2314,1.81876,0.000312467,0.000312467,0.000312467
71,23.5347,0.4291,0.88115,1.00904,0.54049,1,0.995,0.74625,1.25935,2.2314,1.81876,0.000307092,0.000307092,0.000307092
72,23.8777,1.03222,1.48564,1.63703,0.55761,1,0.995,0.57212,1.30457,2.27518,1.80495,0.000301435,0.000301435,0.000301435
73,24.2099,1.03567,1.58761,1.54334,0.55761,1,0.995,0.57212,1.30457,2.27518,1.80495,0.000295494,0.000295494,0.000295494
74,24.5453,0.83324,1.64862,1.21499,0.55761,1,0.995,0.57212,1.30457,2.27518,1.80495,0.000289271,0.000289271,0.000289271
75,24.902,0.61339,1.4386,1.10114,0.66764,1,0.995,0.52238,1.37449,2.19669,1.83197,0.000282765,0.000282765,0.000282765
76,25.2317,0.59404,0.86163,1.14916,0.66764,1,0.995,0.52238,1.37449,2.19669,1.83197,0.000275976,0.000275976,0.000275976
77,25.5492,0.60895,1.32079,1.12654,0.66764,1,0.995,0.52238,1.37449,2.19669,1.83197,0.000268904,0.000268904,0.000268904
78,25.8841,1.43356,1.56106,1.88116,0.8473,1,0.995,0.62187,1.41715,2.00506,2.09646,0.000261548,0.000261548,0.000261548
79,26.2096,1.10536,1.95508,1.51232,0.8473,1,0.995,0.62187,1.41715,2.00506,2.09646,0.00025391,0.00025391,0.00025391
80,26.5396,0.83974,2.33191,1.32118,0.8473,1,0.995,0.62187,1.41715,2.00506,2.09646,0.000245989,0.000245989,0.000245989
81,26.8895,0.77765,1.40702,1.25436,0.7946,1,0.995,0.64675,1.22796,1.69809,2.36393,0.000237786,0.000237786,0.000237786
82,27.1981,0.529,1.17022,1.0694,0.7946,1,0.995,0.64675,1.22796,1.69809,2.36393,0.000229299,0.000229299,0.000229299
83,27.5108,0.61718,0.87283,1.01937,0.7946,1,0.995,0.64675,1.22796,1.69809,2.36393,0.000220529,0.000220529,0.000220529
84,27.8631,0.84318,1.03753,1.09983,0.71237,1,0.995,0.74625,1.10012,1.60394,2.58691,0.000211476,0.000211476,0.000211476
85,28.2395,0.43298,1.00237,1.10822,0.71237,1,0.995,0.74625,1.10012,1.60394,2.58691,0.000202141,0.000202141,0.000202141
86,28.5781,0.52194,1.44353,1.18404,0.71237,1,0.995,0.74625,1.10012,1.60394,2.58691,0.000192522,0.000192522,0.000192522
87,28.8888,1.13086,1.42182,1.28823,0.71237,1,0.995,0.74625,1.10012,1.60394,2.58691,0.00018262,0.00018262,0.00018262
88,29.2249,0.44376,0.89154,1.06576,0.73431,1,0.995,0.796,1.16135,1.64463,2.94508,0.000172436,0.000172436,0.000172436
89,29.5403,0.86308,1.06851,1.44735,0.73431,1,0.995,0.796,1.16135,1.64463,2.94508,0.000161969,0.000161969,0.000161969
90,29.8544,0.61318,0.93891,1.11293,0.73431,1,0.995,0.796,1.16135,1.64463,2.94508,0.000151218,0.000151218,0.000151218
91,30.1758,0.4156,1.18908,1.1092,0.73431,1,0.995,0.796,1.16135,1.64463,2.94508,0.000140185,0.000140185,0.000140185
92,30.5134,0.76434,1.5191,1.28081,0.71128,1,0.995,0.796,1.05768,2.0848,2.54245,0.000128869,0.000128869,0.000128869
93,30.8247,0.40198,1.47432,1.07404,0.71128,1,0.995,0.796,1.05768,2.0848,2.54245,0.000117269,0.000117269,0.000117269
94,31.1456,1.11161,1.70886,1.43874,0.71128,1,0.995,0.796,1.05768,2.0848,2.54245,0.000105387,0.000105387,0.000105387
95,31.46,0.53569,1.29727,1.10268,0.71128,1,0.995,0.796,1.05768,2.0848,2.54245,9.32222e-05,9.32222e-05,9.32222e-05
96,31.8003,0.41845,1.06745,0.92012,0.74046,1,0.995,0.796,0.99405,1.92433,2.09759,8.07742e-05,8.07742e-05,8.07742e-05
97,32.1112,0.30074,1.04845,0.87977,0.74046,1,0.995,0.796,0.99405,1.92433,2.09759,6.80433e-05,6.80433e-05,6.80433e-05
98,32.423,1.29427,3.03734,1.36775,0.74046,1,0.995,0.796,0.99405,1.92433,2.09759,5.50294e-05,5.50294e-05,5.50294e-05
99,32.732,0.50224,1.27181,0.98114,0.74046,1,0.995,0.796,0.99405,1.92433,2.09759,4.17325e-05,4.17325e-05,4.17325e-05
100,33.0634,0.97892,1.7051,1.27199,0.81161,1,0.995,0.796,0.96751,1.8098,1.89483,2.81527e-05,2.81527e-05,2.81527e-05
